,Rank,Name,State,Pop.,Rank,Name,State,Pop.,
"Berlin
Hamburg",1,Berlin,Berlin,"3,471,756",11,Dresden,Saxony,"523,058","Munich
Cologne"
"Berlin
Hamburg",2,Hamburg,Hamburg,"1,786,448",12,Leipzig,Saxony,"522,883","Munich
Cologne"
"Berlin
Hamburg",3,Munich,Bavaria,"1,353,186",13,Hannover,Lower Saxony,"522,686","Munich
Cologne"
"Berlin
Hamburg",4,Cologne,North Rhine-Westphalia,"1,007,119",14,Nuremberg,Bavaria,"505,664","Munich
Cologne"
"Berlin
Hamburg",5,Frankfurt,Hesse,"688,664",15,Duisburg,North Rhine-Westphalia,"489,599","Munich
Cologne"
"Berlin
Hamburg",6,Stuttgart,Baden-Württemberg,"606,588",16,Bochum,North Rhine-Westphalia,"374,737","Munich
Cologne"
"Berlin
Hamburg",7,Düsseldorf,North Rhine-Westphalia,"598,786",17,Wuppertal,North Rhine-Westphalia,"349,721","Munich
Cologne"
"Berlin
Hamburg",8,Dortmund,North Rhine-Westphalia,"580,444",18,Bonn,North Rhine-Westphalia,"324,899","Munich
Cologne"
"Berlin
Hamburg",9,Essen,North Rhine-Westphalia,"574,635",19,Bielefeld,North Rhine-Westphalia,"323,270","Munich
Cologne"
"Berlin
Hamburg",10,Bremen,Bremen (state),"547,340",20,Mannheim,Baden-Württemberg,"313,174","Munich
Cologne"
"Berlin
Hamburg",,,,,,,,,"Munich
Cologne"
