State,State,Capital
Kingdoms (Königreiche),Kingdoms (Königreiche),Kingdoms (Königreiche)
,Prussia (Preußen),Berlin
,Bavaria (Bayern),Munich
,Saxony (Sachsen),Dresden
,Württemberg,Stuttgart
Grand Duchies (Großherzogtümer),Grand Duchies (Großherzogtümer),Grand Duchies (Großherzogtümer)
,Baden,Karlsruhe
,Hesse (Hessen),Darmstadt
,Mecklenburg-Schwerin,Schwerin
,Mecklenburg-Strelitz,Neustrelitz
,Oldenburg,Oldenburg
,Saxe-Weimar-Eisenach (Sachsen-Weimar-Eisenach),Weimar
Duchies (Herzogtümer),Duchies (Herzogtümer),Duchies (Herzogtümer)
,Anhalt,Dessau
,Brunswick (Braunschweig),Braunschweig
,Saxe-Altenburg (Sachsen-Altenburg),Altenburg
,Saxe-Coburg and Gotha (Sachsen-Coburg und Gotha),Coburg
,Saxe-Meiningen (Sachsen-Meiningen),Meiningen
Principalities (Fürstentümer),Principalities (Fürstentümer),Principalities (Fürstentümer)
,Lippe,Detmold
,Reuss-Gera (Junior Line),Gera
,Reuss-Greiz (Senior Line),Greiz
,Schaumburg-Lippe,Bückeburg
,Schwarzburg-Rudolstadt,Rudolstadt
,Schwarzburg-Sondershausen,Sondershausen
,Waldeck-Pyrmont,Arolsen
Free Hanseatic cities (Freie Hansestädte),Free Hanseatic cities (Freie Hansestädte),Free Hanseatic cities (Freie Hansestädte)
,Bremen,Bremen
,Hamburg,Hamburg
,Lübeck,Lübeck
Imperial territory (Reichsland),Imperial territory (Reichsland),Imperial territory (Reichsland)
,Alsace-Lorraine (Elsass-Lothringen),Straßburg
