Date,English Name,German Name,Remarks
1 January,New Year's Day,Neujahr,
Moveable feast,Good Friday,Karfreitag,
Moveable feast,Easter Sunday,Ostersonntag,
Moveable feast,Easter Monday,Ostermontag,Was not an official holiday after 1967.
1 May,May Day,Tag der Arbeit,International Workers' Day
8 May,Victory in Europe Day,Tag der Befreiung,"The translation means ""Day of Liberation"""
Moveable feast,Father's Day / Ascension Day,Vatertag / Christi Himmelfahrt,Thursday after the 5th Sunday after Easter. Was not an official holiday after 1967.
Moveable feast,Whitmonday,Pfingstmontag,50 days after Easter Sunday
7 October,Republic Day,Tag der Republik,National holiday
Moveable feast,Day of Repentance and Prayer,Buß- und Bettag,Penultimate Wednesday before the fourth Sunday before 25 December. Was not an official holiday after 1967.
25 December,First Day of Christmas,1. Weihnachtsfeiertag,
26 December,Second Day of Christmas,2. Weihnachtsfeiertag,
