Games,Athletes,Gold,Silver,Bronze,Total,Rank
1896 Athens,19,6,5,2,13,3
1900 Paris,78,4,2,2,8,7
1904 St. Louis,18,4,4,5,13,2
1908 London,81,3,5,5,13,5
1912 Stockholm,185,5,13,7,25,6
1920 Antwerp,did not participate,did not participate,did not participate,did not participate,did not participate,did not participate
1924 Paris,did not participate,did not participate,did not participate,did not participate,did not participate,did not participate
1928 Amsterdam,296,10,7,14,31,2
1932 Los Angeles,143,3,12,5,20,9
1936 Berlin,433,33,26,30,89,1
1948 London,did not participate,did not participate,did not participate,did not participate,did not participate,did not participate
1952 Helsinki,205,0,7,17,24,28
1956–1964,as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA),as part of the  Unified Team of Germany (EUA)
1968–1988,as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR),as  West Germany (FRG) and  East Germany (GDR)
1992 Barcelona,463,33,21,28,82,3
1996 Atlanta,465,20,18,27,65,3
2000 Sydney,422,13,17,26,56,5
2004 Athens,441,13,16,20,49,6
2008 Beijing,463,16,10,15,41,5
2012 London,392,11,19,14,44,6
Total,Total,174,182,217,573,7
