Pronunciation,Japanese,Use
ば ba,場,Scene of a play
ばい bai,倍,"Multiples, -fold as in ""twofold"""
ばん ban,晩,Nights (see also: ya)
ばん ban,番,"Position, turn, sports matches"
び bi,尾,Small fish and shrimps (used in the fish trade; most people say hiki instead)
ぶ bu,部,"Copies of a magazine or newspaper, or other packets of papers"
ぶん bun,文,Sentences
びょう byō,秒,Seconds
びょうし byōshi,拍子,Musical beats
ちゃく chaku,着,Suits of clothing (see also: mai)
ちょう chō,挺,"Guns, sticks of ink, palanquins, rickshaws, violins"
ちょう chō,丁,"Tools, scissors, saws, trousers, pistols, cakes of tofu, town blocks, servings at a restaurant"
ちょう chō,町,Town blocks
だい dai,代,"Generations, historical periods, reigns"
だい dai,台,"Cars, bicycles, machines, mechanical devices, household appliances"
だん dan,段,"levels, ranks, steps (of stairs)."
だんらく danraku,段落,Paragraphs
"ど do, also たび tabi",度,"Occurrences, number of times, degrees of temperature or angle (see also: kai)."
ふで fude,筆,"Sequences of letters or drawings that you write or draw without removing your pen off the paper. Not to be confused with ""hitsu"" (筆) below."
"ふく fuku, ぷく puku",服,"Bowls of matcha (powdered green tea); packets or doses of powdered medicine; puffs (of, e.g., a cigarette); rests or breaks"
"ふく fuku, ぷく puku",幅,Hanging scrolls (kakejiku)
"ふん fun, ぷん pun",分,Minutes
ふり furi,振,Swords
がっきゅう gakkyū,学級,Classes (in pre-university education)
"がつ gatsu, also つき tsuki",月,Months of the year. Month-long periods when read tsuki (see also: kagetsu)
ご go,語,Words
"ごん gon, also こと koto",言,Words
ぐ gu,具,"Suits of armour, sets of furniture"
ぎょう gyō,行,Lines of text
はく haku,泊,Nights of a stay
"はい hai, ぱい pai, ばい bai",杯,"Cups and glasses of drink, spoonfuls, cuttlefish, octopuses, crabs, squid, abalone, boats (slang)"
はい hai,敗,Losses (sports bouts)
はこ hako,箱,Boxes
はり hari,張,"Umbrellas, parasols, tents"
はしら hashira,柱,"Gods, memorial tablets"
"はつ hatsu, ぱつ patsu",発,"Gunshots, bullets, aerial fireworks; orgasms, sex acts"
"ひき hiki, ぴき piki",匹,"Small animals, insects, fish, reptiles, amphibians, oni (ogres)"
"ひん hin, ぴん pin",品,"Parts of a meal, courses (see also: shina)"
"ひつ hitsu, ぴつ pitsu",筆,Pieces of land
"ほ ho, ぽ po",歩,Number of (foot)steps
"ほん hon, ぽん pon, ぼん bon",本,"Long, thin objects: rivers, roads, train tracks, ties, pencils, bottles, guitars; also, metaphorically, telephone calls (see also: tsūwa), train or bus routes, movies, home runs, points or bounds, in sports events. Although 本 also means ""book"", the counter for books is satsu."
"ひょう hyō, ぴょう pyō",票,Votes
じ ji,字,"Letters, kanji, kana"
じ ji,児,"Children. As in ""father of two (children)"", etc."
じ ji,時,Hours of the day
じかん jikan,時間,Hour-long periods
じょう jō,畳,"Tatami mats. The kanji 畳 is also read tatami and is the same one used for the mats. The room size of a washitsu in Japan is given as a number of mats, for example 4½ yo jō han"
じょう jō,錠,Pills/capsules
じょう jō,条,"Articles of law, thin objects, rays or streams of light, streaks of smoke or lightning"
か ka,日,Day of the month
か ka,架,Frames
か ka,課,Lessons
かぶ kabu,株,Stocks; nursery trees
かげつ kagetsu,"ヶ月, 箇月","Month-long periods (see also: gatsu). 箇 is normally abbreviated using a small katakana ヶ in modern Japanese. Alternatively 個, hiragana か, small katakana ヵ and full-size katakana カ & ケ can also be seen, although only か is similarly frequent."
かい kai,回,"Occurrences, number of times (see also: do)"
"かい kai, がい gai",階,"Number of floors, storeys"
かこく kakoku,"ヶ国, 箇国",Countries
かこくご kakokugo,"ヶ国語, 箇国語",(National) languages
かく kaku,画,Strokes in kanji
かん kan,貫,Pieces of nigiri-zushi
かん kan,艦,Warships
けいとう keitou,系統,Bus routes
けん ken,件,Abstract matters and cases
"けん ken, げん gen",軒,Houses
き ki,機,"Aircraft, machines"
き ki,基,"Graves, wreaths, CPUs, reactors, elevators, dams"
きん kin,斤,Loaves of bread
きれ kire,切れ,"Slices (of bread, cake, sashimi etc.)"
こ ko,"個, 箇, 个, or ヶ","General measure word, used when there is no specific counter. 個 is also used for military units."
こ ko,戸,"Houses (戸 means ""door"")"
こう kō,校,Schools
こう kō,稿,Drafts of a manuscript
こう kō,行,Banks
こま koma,"齣, コマ","Frames, panels. 齣 is virtually unused nowadays."
こん kon,献,shots (of drink)
く ku,区,"Sections, city districts"
く ku,句,"Haiku, senryū"
くち kuchi,口,"(Bank) accounts, donations (口 means ""opening"" or ""entrance"")"
くみ kumi,組,"Groups, a pair of people (twins, a husband and a wife, dancers, etc.)"
くらす kurasu,クラス,School classes
きゃく kyaku,脚,"Desks, chairs, long-stemmed glasses"
きゃく kyaku,客,Pairs of cup and saucer
きょく kyoku,曲,Pieces of music
