FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,FIFA World Cup Finals Record,Qualifications Record,Qualifications Record,Qualifications Record,Qualifications Record,Qualifications Record,Qualifications Record
Year,Result,Position,GP,W,D*,L,GS,GA,GP,W,D,L,GS,GA
1930,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,,,,,,
1934,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,,,,,,
1938,Withdrew,Withdrew,Withdrew,Withdrew,Withdrew,Withdrew,Withdrew,Withdrew,,,,,,
1950,Banned,Banned,Banned,Banned,Banned,Banned,Banned,Banned,,,,,,
1954,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,0,1,1,3,7
1958,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,,,,,,
1962,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,2,0,0,2,1,4
1966,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,Did Not Enter,,,,,,
1970,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,0,2,2,4,8
1974,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,1,0,3,5,4
1978,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,0,1,3,0,5
1982,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,4,2,0,2,4,2
1986,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,8,5,1,2,15,5
1990,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,6,2,3,1,7,3
1994,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,Did Not Qualify,13,9,3,1,35,6
1998,Group Stage,31st,3,0,0,3,1,4,15,9,5,1,51,12
2002,Round of 16,9th,4,2,1,1,5,3,,,,,,
2006,Group Stage,28th,3,0,1,2,2,7,12,11,0,1,25,5
2010,Round of 16,9th,4,2,1,1,4,2,14,8,4,2,23,9
2014,Qualified,TBD,,,,,,,14,8,3,3,30,8
2018,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,,,,,,
2022,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,To be determined,,,,,,
Total,4/20,9th,14,4,3,7,12,16,102,54,24,24,203,78
