,Average population (x 1000),Live births,Deaths,Natural change,Crude birth rate (per 1000),Crude death rate (per 1000),Natural change (per 1000),Total fertility rate,Infant mortality rate (per 1000 births),Life expectancy(males),Life expectancy (females)
1899,,1386 981,,,32.0,21.5,10.5,,153.8,,
1900,43 847,1470 000,916 000,554 000,31.7,20.4,12.6,,155.0,,
1901,44 359,1557 000,931 000,626 000,33.1,20.4,14.1,,149.9,,
1902,44 964,1570 000,965 000,605 000,32.9,20.9,13.5,,154.0,,
1903,45 546,1552 000,936 000,616 000,32.0,20.0,13.5,,152.4,,
1904,46 135,1500 000,1005 000,495 000,30.6,21.2,10.7,,151.9,,
1905,46 620,1517 000,1047 000,470 000,30.6,21.9,10.1,,151.7,,
1906,47 038,1461 000,962 000,499 000,29.0,20.0,10.6,,153.6,,
1907,47 416,1685 000,1025 000,660 000,33.2,21.0,13.9,,151.3,,
1908,47 965,1734 000,1037 000,697 000,33.7,20.9,14.5,,158.0,,
1909,48 554,1766 000,1098 000,668 000,33.9,21.9,13.8,,167.3,,
1910,49 184,1782 000,1071 000,711 000,33.9,21.1,14.5,,161.2,,
1911,49 852,1821 000,1050 000,771 000,34.1,20.4,15.5,,158.4,,
1912,50 577,1817 000,1044 000,773 000,33.4,20.0,15.3,,154.2,,
1913,51 305,1835 000,1035 000,800 000,33.3,19.5,15.6,,152.1,,
1914,52 039,1883 000,1109 000,774 000,33.8,20.6,14.9,,158.5,,
1915,52 752,1872 000,1110 000,762 000,33.2,20.2,14.4,,160.4,,
1916,53 496,1873 000,1196 000,677 000,32.9,21.6,12.7,,170.3,,
1917,54 134,1883 000,1208 000,675 000,32.7,21.6,12.5,,173.2,,
1918,54 739,1856 000,1503 000,353 000,32.2,26.7,6.4,,188.6,,
1919,55 033,1850 000,1290 000,560 000,31.6,22.8,10.2,,170.5,,
1920,55 963,2105 000,1431 000,674 000,36.2,25.4,12.0,,165.7,,
1921,56 666,1991 000,1289 000,702 000,35.1,22.7,12.4,,168.3,,
1922,57 390,1969 000,1287 000,682 000,34.3,22.4,11.9,,166.4,,
1923,58 119,2043 000,1332 000,711 000,35.2,22.9,12.2,,163.4,,
1924,58 876,1999 000,1255 000,744 000,33.9,21.3,12.6,,156.2,,
1925,59 737,2080 000,1211 000,869 000,34.9,20.3,14.5,5.10,142.4,,
1926,60 741,2104 000,1161 000,943 000,34.6,19.1,15.5,,137.5,,
1927,61 659,2061 000,1214 000,847 000,33.4,19.7,13.7,,141.6,,
1928,62 595,2136 000,1237 000,899 000,34.1,19.8,14.4,,136.7,,
1929,63 461,2077 000,1261 000,816 000,32.7,19.9,12.9,,142.1,,
1930,64 450,2085 000,1171 000,914 000,32.4,18.2,14.2,4.70,124.1,,
1931,65 457,2103 000,1241 000,862 000,32.1,19.0,13.2,,131.5,,
1932,65 800,2165 000,1165 000,1000 000,32.9,17.7,15.2,,117.5,,
1933,66 790,2104 000,1182 000,922 000,31.5,17.7,13.8,,121.3,,
1934,67 680,2028 289,1225 402,802 887,29.9,18.1,11.9,,124.8,,
1935,68 662,2174 291,1152 371,1021 920,31.6,16.8,14.9,,106.7,,
1936,69 590,2086 355,1220 023,866 332,30.0,17.5,12.4,,116.7,46.92,49.63
1937,70 360,2164 949,1198 400,966 549,30.9,17.1,13.7,,105.8,,
1938,70 590,1911 966,1250 093,661 873,27.2,17.7,9.4,,114.4,,
1939,70 930,1885 957,1258 514,627 443,26.6,17.8,8.8,,106.2,,
1940,71 540,2100 164,1176 517,923 647,29.4,16.4,12.9,4.11,90.0,,
1941,72 750,2260 270,1140 428,1119 842,31.1,15.7,15.4,,84.1,,
1942,73 450,2216 271,1157 845,1058 426,30.3,15.8,14.4,,85.5,,
1943,73 980,2235 431,1204 802,1030 629,30.3,16.3,13.9,,86.6,,
1944,73 865,2149 843,1279 639,870 204,29.2,17.4,11.8,,,,
1945,72 410,1685 583,2113 798,-428 215,23.2,29.2,-5.9,,,,
1946,75 300,1905 809,1326 592,579 217,25.3,17.6,7.7,,,,
1947,78 025,2678 792,1138 238,1540 554,34.3,14.6,19.7,4.54,76.7,50.06,53.96
1948,79 500,2681 624,950 610,1731 014,33.7,12.0,21.8,4.40,61.7,55.6,59.4
1949,81 300,2696 638,945 444,1751 194,33.2,11.6,21.5,4.32,62.5,56.2,59.8
1950,82 900,2337 507,904 876,1432 631,28.2,10.9,17.3,3.65,60.1,58.0,61.5
1951,84 235,2137 689,838 998,1298 691,25.4,10.0,15.4,3.26,57.5,59.57,62.97
1952,85 503,2005 162,765 068,1240 094,23.5,8.9,14.5,2.98,49.4,61.9,65.5
