Name,Description/Focus,Date launched,Registered users,Registration,"Global Alexa, Page ranking"
43 Things,Goal setting and achievement,1 January 2005,"3,000,000",Open,"12,914"
Academia.edu,Social networking site for academics/researchers,September 2008,"211,000",Open,"1,995"
Advogato,Free and open source software developers,1999,"13,575",Open,"292,620"
aNobii,Books,2006,,Open,"26,939"
AsianAvenue,A social network for the Asian American community,1997,,Open,"170,384"
aSmallWorld,European jet set and social elite world-wide,March 2004,"550,000",Invite-only,"580,060"
Athlinks,"Running, Swimming",2001,"139,458",Open,"69,170"
Audimated.com,Independent music,2010,,Open,"656,507"
Bebo,General,July 2005,"117,000,000",Open to people 13 and older,"4,169"
Biip.no,Norwegian community,1 June 2005,"430,000",Requires Norwegian phone number,"81,916"
BlackPlanet,Black Americans,1 September 1999,"20,000,000",Open,"7,193"
Blauk,Anyone who wants to tell something about a stranger or acquaintance.,2010,,Open to people 13 and older.,"1,081,215"
Blogster,Blogging community,24 November 2005,"85,579",Open,"12,048"
Bolt.com,General,1996,,Open,"589,595"
Busuu,"Language learning community (headquartered in Madrid, Spain)",16 May 2008,"12,000,000",Open,"4,976"
Buzznet,Music and pop-culture,2005,"10,000,000",Open,"6,955"
CafeMom,Mothers,December 2006,"1,250,000",Open to moms and moms-to-be,"1,293"
Care2,Green living and social activism,1998,"9,961,947",Open,"1,930"
CaringBridge,"Not for profit providing free websites that connect family and friends during a serious health event, care and recovery.",,"9,500,000",Open to people 18 and older,"4,279"
Classmates.com,"School, college, work and the military",1995,"50,000,000",Open to people 18 and older,"3,284"
Cloob,General. Popular in Iran,2004,,Open,749
CouchSurfing,Worldwide network for making connections between travelers and the communities they visit.,2003,"2,967,421",Open,"2,231"
CozyCot,East Asian and Southeast Asian women,2001,"150,000",Open,"36,959"
Cross.tv,Faith Based social network for Christian believers from around the world,2008,"450,000",Open,"53,394"
Crunchyroll,Anime and forums.,2006,,Open,"5,721"
Cyworld,General. Popular in South Korea.,1999,"24,000,000",Open,"1,616"
DailyBooth,Photo-blogging site where users upload a photo every day,13 February 2009,,Closed,"5,963"
DailyStrength,"Medical & emotional support community - Physical health, Mental health, Support groups",4 November 2007,,Open,"10,511"
