Name,Description/Focus,Date launched,Registered users,Registration,"Global Alexa, Page ranking"
Academia.edu,Social networking site for academics/researchers,September 2008,"211,000",Open,"6,053"
Advogato,Free and open source software developers,1999,"13,575",Open,"144,599"
aNobii,Books,2006,,Open,"11,932"
aSmallWorld,European jet set and social elite world-wide,March 2004,"550,000",Invite-only,"6,192"
AsianAvenue,A social network for the Asian American community,1997,,Open,"75,854"
Athlinks,"Running, Swimming",2001,"139,458",Open,"37,129"
Audimated.com,Independent music,2010,,Open,"747,857"
Badoo,"General, Meet new people, Popular in Europe and Latin America",2006,"86,000,000",Open to people 18 and older,117
Bebo,General,July 2005,"117,000,000",Open to people 13 and older,"2,279"
BIGADDA,Indian Social Networking Site,August 2007,"3,000,000",Open to people 16 and older,"12,903"
Biip.no,Norwegian community,"June 1, 2005","430,000",Requires Norwegian phone number,"42,468"
BlackPlanet,African-Americans,"September 1, 1999","20,000,000",Open,"5,863"
Blauk,Anyone who wants to tell something about a stranger or acquaintance.,2010,,Open to people 13 and older.,"463,796"
Blogster,Blogging community,"November 24, 2005","85,579",Open,"10,144"
Bolt.com,General,1996,,Open,"111,069"
Busuu,Language learning community,"May 16, 2008","4,000,000",Open,"4,330"
Buzznet,Music and pop-culture,2005,"10,000,000",Open,"1,227"
CafeMom,Mothers,December 2006,"1,250,000",Open to moms and moms-to-be,"1,492"
Cake Financial,Investing,"September 17, 2007",,Open,"481,922"
Care2,Green living and social activism,1998,"9,961,947",Open,"1,883"
CaringBridge,"Not for profit providing free websites that connect family and friends during a serious health event, care and recovery.",2014,"9,500,000",Open to people 18 and older,39
Cellufun,"Mobile social game network, Number 8 US mobile website",2007,"3,000,000",Open to people 14 and older,"115,511"
Classmates.com,"School, college, work and the military",1995,"50,000,000",Open to people 18 and older,"2,961"
Cloob,General. Popular in Iran,2004,,Open,914
CouchSurfing,Worldwide network for making connections between travelers and the local communities they visit.,2003,"2,967,421",Open,"1,821"
CozyCot,East Asian and Southeast Asian women,2001,"150,000",Open,"3,711"
Cross.tv,Faith Based social network for Christian believers from around the world,2008,"450,000",Open,"31,716"
Crunchyroll,Anime and forums.,2006,,Open,"5,153"
Cyworld,General. Popular in South Korea.,1999,"24,000,000",Open,"1,020"
DailyBooth,Photo-blogging site where users upload a photo every day,"February 13, 2009",,Open,"5,014"
DailyStrength,"Medical & emotional support community - Physical health, Mental health, Support groups","November 4, 2007",,Open,"22,054"
Decayenne,European and American social elite,2001,,Invite-only,"1,263,943"
delicious,Social bookmarking allowing users to locate and save websites that match their own interests,September 2003,"8,822,921",Open,272
deviantART,Art community,"August 7, 2000","9,040,962",Open,126
Diaspora*,"Decentralized, privacy aware, general (open source)","November, 2010","200,000+",Open,"24,947"
Disaboom,"People with disabilities (Amputee, cerebral palsy, MS, and other disabilities)",2014,,Open,"275,698"
Dol2day,"Politic community, Social network, Internet radio (German-speaking countries)",2014,"40,200",Open,"887,047"
DontStayIn,Clubbing (primarily UK),2014,,Open,"54,095"
Draugiem.lv,"General (primarily LV, LT, HU)",2014,"2,600,466",Invitation only,"2,915"
douban,"Chinese Web 2.0 website providing user review and recommendation services for movies, books, and music.",2005,"46,850,000",Open,119
DXY.cn,"Chinese online community for physicians, health care professionals, pharmacies and facilities",2000,"2,000,000",Open,"14,005"
Elftown,Community and wiki around Fantasy and sci-fi.,2014,"185,000","Open, approval needed","43,277"
Elixio,"High-net-worth individuals, young business executives",July 2007,"40,000",Invite-only,"153,646"
Epernicus,For research scientists,2014,,Open,"528,083"
Eons.com,For baby boomers,2014,,Open to people 13 and older,"34,240"
Experience Project,Life experiences,2014,,Open,"3,452"
Exploroo,Travel Social Networking.,2014,,Open,"209,868"
Facebook,General. Most popular social network.,February 2004,1 000 000 000+,Open to people 13 and older,2
Faceparty,General. Popular UK.,2014,"200,000",Invitation only to people 18 and older,"28,760"
Faces.com,"Adult Social Network, Mainly UK & USA",2011,"700,000",Open to people 18 and older worldwide,"159,693"
Fetlife,People who are into BDSM,2014,"500,000","Open to people ""of, age to see adult content""","5,513"
FilmAffinity,Movies and TV Series,2002,"250,000",Open,"3,916"
FledgeWing,Entrepreneural community targeted towards worldwide university students,2014,,Open to university students,"1,793,990"
Flixster,Movies,2007,"63,000,000",Open to people 13 and older,"1,018"
Flickr,"Photo sharing, commenting, photography related networking, worldwide",February 2004,"32,000,000",Open to people 13 and older (Yahoo! Login),31
Focus.com,"Business to Business, worldwide",2005,"850,000",Open to people 13 and older,"11,495"
Fotki,"Photo sharing, video hosting, photo contests, journals, forums, flexible privacy protection, friend's feed, audio comments and unlimited custom design integration.",October 1998,"1,632,565",Open,"5,367"
Fotolog,Photoblogging. Popular in South America and Spain,2014,"20,000,000",Open,"1,194"
Foursquare,Location based mobile social network,2014,"10,000,000",Open,625
Friends Reunited,"UK based. School, college, work, sport and streets",2014,"19,000,000",Open to people 13 and older,"10,231"
Friendster,General. Popular in Southeast Asia. No longer popular in the western world,2002,"90,000,000",Open to people 16 and older.,979
Frühstückstreff,General,July 2001,"14,800",Open,"1,253,155"
Fubar,"dating, an ""online bar"" for 18 and older",October 2007,"1,200,000",Open to people 18+,"9,476"
Gaia Online,"Anime and games. Popular in USA, Canada and Europe. Moderately popular around Asia.",2014,"23,523,663",Open to people 13 and older,"1,071"
GamerDNA,Computer and video games,"September 21, 2006","310,000",Open,"22,887"
Gather.com,"Article, picture, and video sharing, as well as group discussions",2014,"465,000",Open,"3,974"
Gays.com,"Social network for LGBT community, Guide for LGBT bars, restaurants, clubs, shopping","May 16, 2008","100,000","Open, Global","74,664"
Geni.com,"Families, genealogy","January 16, 2007","15,000,000",Open,"5,815"
Gogoyoko,Fair play in Music - Social networking site for musicians and music lovers,2014,,Invite only while in beta,"119,272"
Goodreads,"Library cataloging, book lovers",December 2006,,Open,"2,543"
Goodwizz,"Social network with matchmaking and personality games to find new contacts. Global, based in France.",October 2010,"110,000",Open,"214,214"
Google+,General,"June 28, 2011","50,000,000","General, Open",NA (Alexa only records data for Second-level domains)
Google Buzz,General,"February 9, 2010",,Open,NA (Alexa only records data for second-level domains)
GovLoop,for people in and around government,2014,,,"91,852"
Grono.net,Poland,2014,"2,000,000",Open,"2,958"
Habbo,General for teens. Over 31 communities worldwide. Chat Room and user profiles.,2014,"200,000,000",Open to people 13 and older,"6,545"
hi5,"General. Popular in India, Mongolia, Thailand, Romania, Jamaica, Central Africa, Portugal and Latin America. Not very popular in the USA.",2003,"80,000,000",Open to people 13 and older.,443
Hospitality Club,Hospitality,2014,"328,629",Open,"38,258"
Hotlist,"Geo-Social Aggregator rooted in the concept of knowing where your friends are, were, and will be.",2014,"80,000",Open,"28,241"
HR.com,Social networking site for Human Resources professionals,1999,"194,000",Open,"60,048"
Hub Culture,Global influencers focused on worth creation,November 2002,"20,000",Invite-only,"515,308"
Hyves,"General, mostly popular in the Netherlands.",September 2004,"10,097,000",Open,658
Ibibo,Talent based social networking site that allows to promote one's self and also discover new talent. Most popular in India.,2014,"3,500,000",Open,695
Identi.ca,Twitter-like service popular with hackers and software freedom advocates.,2014,"395,695",Open,"3,822"
Indaba Music,"Online collaboration for musicians, remix contests, and networking.",2014,"350,000","Open, Global","55,062"
IRC-Galleria,Finland,2014,"505,000",Open to Finnish speaking people 12 and older,"3,302"
italki.com,Language learning social network. 100+ languages.,2014,"500,000","Open, Global","29,939"
InterNations,International community,2007,"600,000",Invite-only,"7,704"
Itsmy,"Mobile community worldwide, blogging, friends, personal TV-shows",2014,"2,500,000",,"206,437"
iWiW,Hungary,2014,"4,000,000",Invite-only,532
Jaiku,General. Microblogging. Owned by Google,February 2006,,Open to people 13 and older,"15,661"
Kaixin001,General. In Simplified Chinese; caters for mainland China users,2014,,Open to the General Public,183
Kiwibox,General.,1999,"2,400,000",Open to people 13 and older,"104,563"
Lafango,Talent-Focused media sharing site,2014,,"Open, Global","151,301"
LaiBhaari,Marathi social networking,2010,"100,000",Open,"29,782"
Last.fm,Music,2002,"30,000,000",Open,552
LibraryThing,Book lovers,"August 29, 2005","1,300,000",Open to people 13 and older,"8,243"
Lifeknot,"Shared interests, hobbies",2014,,Open to people 18 and older,"602,117"
LinkedIn,Business and professional networking,May 2003,"120,000,000",Open to people 18 and older,13
LinkExpats,Social networking website for expatriates. 100+ countries.,2014,,"Open, Global","1,668,484"
Listography,Lists. Autobiography,2014,,Open,"197,009"
LiveJournal,Blogging. Popular in Russia and among the Russian-speaking diaspora abroad.,"April 15, 1999","17,564,977",Open (OpenID),76
Livemocha,Online language learning,2014,"5,000,000",Open,"4,079"
LunarStorm,Sweden,2014,"1,200,000",Open,"65,874"
Makeoutclub,General,"August 9, 1999",,Open,"723,381"
MEETin,General,2014,,Open,"173,717"
Meetup.com,General. Used to plan offline meetings for people interested in various activities,2014,,Open to people 18 and older,739
Meettheboss,"Business and Finance community, worldwide.",2014,,Open,"107,180"
Mixi,Japan,"October 25, 2000","24,323,160",Invite-only,140
mobikade,"mobile community, UK only",2014,,Open to people 18 and older,"1,851,728"
MocoSpace,"mobile community, worldwide",2014,"3,000,000",Open to people 14 and older,"3,685"
MOG,Music,2014,,Open to people 14 and older,"4,221"
MouthShut.com,"Social Network, social media, consumer reviews",2014,,Open,"2,545"
Mubi (website),Auteur cinema,2014,"200,000",Open,"25,648"
Multiply,"""Real world"" relationships. Popular in primarily in Asia.",2014,"10,000,000",Open to people 13 and older.,382
Muxlim,Muslim portal site,2006,"50,000",Open to people 13 and older,"59,099"
MyAnimeList,Anime themed social community,2014,"160,000",Open to people 13 and older,"6,096"
MyHeritage,family-oriented social network service,2014,"30,000,000",Open,"2,953"
MyLife,"Locating friends and family, keeping in touch (formerly Reunion.com)",2014,"51,000,000",Open,"1,481"
My Opera,"Blogging, mobile blogging, photo sharing, connecting with friends, Opera Link and Opera Unite. Global",2014,"7,300,000",Open,NA (Alexa only records data for second-level domains)
Myspace,General,August 2003,"100,000,000+",Open to ages 13 and older.,86
myYearbook,"General, Charity",2014,"20,000,000",Open to age 13 and up & Grades 9 and up,851
Nasza-klasa.pl,"School, college and friends. Popular in Poland",2014,"11,000,000",Open,"40,961"
Netlog,"General. Popular in Europe, Turkey, the Arab World and Canada's Québec province. Formerly known as Facebox and Redbox.",2014,"70,000,000",Open to people 13 and older,296
Nettby,Norwegian Community,"September 14, 2006",,Open,"2,719"
Nexopia,Canada,2014,"1,400,000",Open to people 13 and older,"24,071"
NGO Post,"Non-Profit news sharing and networking, mainly in India",2014,"15,000",Open,"70,134"
Ning,Users create their own social websites and social networks,2014,,Open to people 13 and older,273
Odnoklassniki,Connect with old classmates. Popular in Russia and former Soviet republics,2014,"45,000,000",Open,104
OneClimate,Not for Profit Social networking and Climate Change,2014,,Open to People of all ages and locations,"307,773"
OneWorldTV,"Not for Profit Video sharing and social networking aimed at people interested in social issues, development, environment, etc.",2014,,Open,"27,434,227"
Open Diary,"First online blogging community, founded in 1998",1998,"5,000,000",Open to people 13 and older,"39,290"
Orkut,General. Owned by Google Inc. Popular in India and Brazil.,"January 22, 2004","100,000,000","Open to people 18 and older, (Google login)",106
OUTeverywhere,Gay/LGBTQ Community,2014,,Open,"329,887"
Passportstamp,Travel,2014,,Open,"366,598"
PatientsLikeMe,"Online community for patients with life-changing illnesses to find other patients like them, share their data with others, and learn more about their condition to improve their outcome.",2006,"109,587",Open to people 13 years and up,"57,962"
Partyflock,Dutch virtual community for people interested in house music and other electronic dance music,"November 10, 2001","321,125",Open to people 18 years and up,"7,226"
Pingsta,Collaborative platform for the world's Internetwork Experts,2014,,"Invite-only, only Internet Experts","1,668,955"
Plaxo,Aggregator,2014,"15,000,000",Open,"1,533"
Playahead,"Swedish, Danish teenagers",2014,,Closed,"63,081"
PureVolume,"Connecting indie music bands and listeners, through music sharing and social networking",2003,1,Open,"20,822"
Playfire,Computer and video games,,,Open to people 13 and older,"62,555"
Playlist.com,"General, Music",2014,,Open to people over 13,"4,340"
Plurk,"Micro-blogging, RSS, updates. Very popular in Taiwan",2014,,Open,"1,072"
Present.ly,Enterprise social networking and micro-blogging,2014,,Open,"4,893,711"
Qapacity,A a business-oriented social networking site and a business directory,2014,,Open to people 16 and older,"96,847"
Quechup,"General, friendship, dating",2007,,Open to those over 16,"150,757"
Qzone,General. In Simplified Chinese; caters for mainland China users,2014,"480,000,000",Open to the general public,NA (Alexa only records data for second-level domains)
Raptr,Video games,2014,,Open,"25,664"
Ravelry,Knitting and crochet,2014,"743,930",Open,"7,811"
Renren,Significant site in China. Was known as 校内 (Xiaonei) until August 2009.,2014,"160,000,000",Open,83
ResearchGate,Social network for scientific researchers,2014,"400,000",Open,"23,095"
ReverbNation.com,Social network for musician and bands,2014,"500,000",Open to people 16 and older,"4,422"
Ryze,Business,2014,"500,000",Open,"19,839"
ScienceStage,Science-oriented multimedia platform and network for scientists,2014,,Open,"26,804"
Scispace.net,Collaborative network site for scientists,2014,,"By invitation, but can request an invitation","1,231,795"
ShareTheMusic,Music Community. Sharing and listening to music for free and legally,2014,,Open,"471,712"
Shelfari,Books,"October 11, 2006",,Open,"19,681"
Skyrock,Social Network in French-speaking world,2014,"22,000,000",Open,437
Social Life (website),Brazilian jet set and social elite world-wide,2008,"550,000",Invite-only,"154,533"
SocialVibe,Social Network for Charity,2014,"435,000",Open,"41,927"
Sonico.com,General. Popular in Latin America and Spanish and Portuguese speaking regions.,2014,"17,000,000",Open to people 13 and older,507
SoundCloud,Repository of original music pieces and networking.,2014,"1,000,000",Open,374
Stickam,Live video streaming and chat.,2014,"2,000,000",Open,"2,742"
StudiVZ,"University students, mostly in the German-speaking countries. School students and those out of education sign up via its partner sites schülerVZ and meinVZ.",2014,"17,000,000",Open,"1,318"
StumbleUpon,Stumble through websites that match your selected interests,2014,"10,600,000",Open,108
Tagged,General.,2014,"100,000,000",Open,281
TalentTrove,Online Talent Network,2014,,Open,"21,177"
Talkbiznow,Business networking,2014,,Open,"283,770"
Taltopia,Online artistic community,2014,,Open,"52,759"
Taringa!,General,2014,"11,000,000",Open to people 13 and older,137
TeachStreet,Education / Learning / Teaching - More than 400 subjects,2014,,Open,"61,492"
TermWiki,Learning / Languages / Translation - 1.2m terms in more than 1300 subjects,May 2010,,Open,"16,182"
TravBuddy.com,Travel,2005,"1,588,000",Open to people 18 and older,"11,789"
Travellerspoint,Travel,2002,"310,000",Open,"11,486"
tribe.net,General,2014,,Open,"5,706"
Trombi.com,French subsidiary of Classmates.com,2014,"4,400,000",,"7,283"
Tuenti,Spanish-based university and High School social network. Very Popular in Spain,2014,"12,000,000",Invite-only,730
Tumblr,"General. Micro-blogging, RSS",2007,,Open,46
Twitter,"General. Micro-blogging, RSS, updates","July 15, 2006","175,000,000",Open,9
Vkontakte,Social Network for Russian-speaking world including former Soviet republics.,September 2006,"110,578,500",Open,44
Vampirefreaks.com,Gothic and industrial subculture,1999,"1,931,049",Open to users 13 and over,"7,577"
Viadeo,"Global Social Networking and Campus Networking available in English, French, German, Spanish, Italian and Portuguese",2014,"35,000,000",Open,710
Virb,"Social network that focuses heavily on artists, including musicians and photographers",2007,,Open,"22,474"
Vox,Blogging,2014,,Open,"1,319"
Wakoopa,For computer fans that want to discover new software and games,2014,"100,000",Open,"9,420"
Wattpad,For readers and authors to interact & e-book sharing,2014,,Open,"11,008"
Wasabi,General. UK-based.,2014,,Open,"95,188"
WAYN,Travel and lifestyle,May 2003,"10,000,000",Open to people 18 and older,"2,974"
WebBiographies,Genealogy and biography,2014,,Open,"734,214"
WeeWorld,Teenagers - 10 to 17,2014,"30,000,000",Open to ages 13 and older.,"8,729"
WeOurFamily,General with emphasis on privacy and security,2014,,"Open, subscription-based","685,337"
Wer-kennt-wen,General,2014,,General,441
weRead,Books,June 2007,"4,000,000",Open,"80,233"
Windows Live Spaces,Blogging (formerly MSN Spaces),2014,"120,000,000",Open,NA (Alexa only records data for second-level domains)
