"Census
Year",1790,1800,1810,1820,1830,1840,1850,1860
All States,"694,207","887,612","1,130,781","1,529,012","1,987,428","2,482,798","3,200,600","3,950,546"
Alabama,–,–,–,"47,449","117,549","253,532","342,844","435,080"
Arkansas,–,–,–,–,"4,576","19,935","47,100","111,115"
California,–,–,–,–,–,–,–,–
Connecticut,"2,648",951,310,97,25,54,–,–
Delaware,"8,887","6,153","4,177","4,509","3,292","2,605","2,290","1,798"
Florida,–,–,–,–,–,"25,717","39,310","61,745"
Georgia,"29,264","59,699","105,218","149,656","217,531","280,944","381,682","462,198"
Illinois,–,–,–,917,747,331,–,–
Indiana,–,–,–,190,3,3,–,–
Iowa,–,–,–,–,–,16,–,–
Kansas,–,–,–,–,–,–,–,2
Kentucky,"12,430","40,343","80,561","126,732","165,213","182,258","210,981","225,483"
Louisiana,–,–,–,"69,064","109,588","168,452","244,809","331,726"
Maine,–,–,–,–,2,–,–,–
Maryland,"103,036","105,635","111,502","107,398","102,994","89,737","90,368","87,189"
Massachusetts,–,–,–,–,1,–,–,–
Michigan,–,–,–,–,32,–,–,–
Minnesota,–,–,–,–,–,–,–,–
Mississippi,–,–,–,"32,814","65,659","195,211","309,878","436,631"
Missouri,–,–,–,"10,222","25,096","58,240","87,422","114,931"
Nebraska,–,–,–,–,–,–,–,15
Nevada,–,–,–,–,–,–,–,–
New Hampshire,157,8,–,–,3,1,–,–
New Jersey,"11,423","12,422","10,851","7,557","2,254",674,236,18
New York,"21,193","20,613","15,017","10,088",75,4,–,–
North Carolina,"100,783","133,296","168,824","205,017","245,601","245,817","288,548","331,059"
Ohio,–,–,–,–,6,3,–,–
Oregon,–,–,–,–,–,–,–,–
Pennsylvania,"3,707","1,706",795,211,403,64,–,–
Rhode Island,958,380,108,48,17,5,–,–
South Carolina,"107,094","146,151","196,365","251,783","315,401","327,038","384,984","402,406"
Tennessee,–,"13,584","44,535","80,107","141,603","183,059","239,459","275,719"
Texas,–,–,–,–,–,–,"58,161","182,566"
Vermont,–,–,–,–,–,–,–,–
Virginia,"292,627","346,671","392,518","425,153","469,757","449,087","472,528","490,865"
Wisconsin,–,–,–,–,–,11,4,–
