State,1788,1792,"1796
1800","1804
1808",1812,1816,1820,"1824
1828",1832,"1836
1840",1844,1848,"1852
1856",1860,1864,1868,1872,"1876
1880","1884
1888",1892,"1896
1900",1904,1908,"1912
1916
1920
1924
1928","1932
1936
1940","1944
1948","1952
1956",1960,"1964
1968","1972
1976
1980","1984
1988","1992
1996
2000","2004
2008","2012
2016
2020"
Alabama,,,,,,,3,5,7,7,9,9,9,9,0,8,10,10,10,11,11,11,11,12,11,11,11,11,10,9,9,9,9,9
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3
Arizona,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,5,6,7,8,10,11
Arkansas,,,,,,,,,,3,3,3,4,4,0,5,6,6,7,8,8,9,9,9,9,9,8,8,6,6,6,6,6,6
California,,,,,,,,,,,,,4,4,5,5,6,6,8,9,9,10,10,13,22,25,32,32,40,45,47,54,55,55
Colorado,,,,,,,,,,,,,,,,,,3,3,4,4,5,5,6,6,6,6,6,6,7,8,8,9,9
Connecticut,7,9,9,9,9,9,9,8,8,8,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,7,7
D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Delaware,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Florida,,,,,,,,,,,,3,3,3,0,3,4,4,4,4,4,5,5,6,7,8,10,10,14,17,21,25,27,29
Georgia,5,4,4,6,8,8,8,9,11,11,10,10,10,10,0,9,11,11,12,13,13,13,13,14,12,12,12,12,12,12,12,13,15,16
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4
Idaho,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
Illinois,,,,,,,9,3,5,5,9,9,11,11,16,16,21,21,22,24,24,27,27,29,29,28,27,27,26,26,24,22,21,20
Indiana,,,,,,3,3,5,9,9,12,12,13,13,13,13,15,15,15,15,15,15,15,15,14,13,13,13,13,13,12,12,11,11
Iowa,,,,,,,,,,,,4,4,4,8,8,11,11,13,13,13,13,13,13,11,10,10,10,9,8,8,7,7,6
Kansas,,,,,,,,,,,,,,,3,3,5,5,9,10,10,10,10,10,9,8,8,8,7,7,7,6,6,6
Kentucky,,4,4,8,12,12,12,14,15,15,12,12,12,12,11,6,12,12,13,13,13,13,13,13,11,11,10,10,9,9,9,8,8,8
Louisiana,,,,,3,3,3,5,5,5,6,6,6,6,0,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,9,9,8
Maine,,,,,,,3,9,10,10,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4
Maryland,8,10,10,11,11,11,11,11,10,10,8,8,8,8,7,7,8,8,8,6,6,8,8,8,8,8,9,9,10,10,10,10,10,10
Massachusetts,10,16,16,19,22,22,15,15,14,14,12,12,13,13,12,12,13,13,14,15,15,16,16,18,17,16,16,16,14,14,13,12,12,11
Michigan,,,,,,,,,,3,5,5,6,6,8,8,11,11,13,14,14,14,14,15,19,19,20,20,21,21,20,18,17,16
Minnesota,,,,,,,,,,,,,,4,4,4,5,5,7,9,9,11,11,12,11,11,11,11,10,10,10,10,10,10
Mississippi,,,,,,,3,3,4,4,6,6,7,7,0,0,8,8,9,9,9,10,10,10,9,9,8,8,7,7,7,7,6,6
Missouri,,,,,,,3,3,4,4,7,7,9,9,11,11,15,15,16,17,17,18,18,18,15,15,13,13,12,12,11,11,11,10
Montana,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3
Nebraska,,,,,,,,,,,,,,,,3,3,3,5,8,8,8,8,8,7,6,6,6,5,5,5,5,5,5
Nevada,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6
New Hampshire,5,6,6,7,8,8,8,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
New Jersey,6,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,9,9,9,10,10,12,12,14,16,16,16,16,17,17,16,15,15,14
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,4,5,5,5,5
New York,8,12,12,19,29,29,29,36,42,42,36,36,35,35,33,33,35,35,36,36,36,39,39,45,47,47,45,45,43,41,36,33,31,29
North Carolina,,12,12,14,15,15,15,15,15,15,11,11,10,10,0,9,10,10,11,11,11,12,12,12,13,14,14,14,13,13,13,14,15,15
North Dakota,,,,,,,,,,,,,,,,,,,,3,3,4,4,5,4,4,4,4,4,3,3,3,3,3
Ohio,,,,3,8,8,8,16,21,21,23,23,23,23,21,21,22,22,23,23,23,23,23,24,26,25,25,25,26,25,23,21,20,18
Oklahoma,,,,,,,,,,,,,,,,,,,,,,,7,10,11,10,8,8,8,8,8,8,7,7
Oregon,,,,,,,,,,,,,,3,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7
Pennsylvania,10,15,15,20,25,25,25,28,30,30,26,26,27,27,26,26,29,29,30,32,32,34,34,38,36,35,32,32,29,27,25,23,21,20
Rhode Island,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
South Carolina,7,8,8,10,11,11,11,11,11,11,9,9,8,8,0,6,7,7,9,8,8,9,9,9,8,8,8,8,8,8,8,8,8,9
South Dakota,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3
Tennessee,,,3,5,8,8,9,11,15,15,13,13,12,12,0,10,12,12,12,12,12,12,12,12,11,12,11,11,11,10,11,11,11,11
Texas,,,,,,,,,,,,4,4,4,0,0,8,8,13,15,15,18,18,20,23,23,24,24,25,26,29,32,34,38
Utah,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,4,4,4,4,4,5,5,5,6
Vermont,,4,4,6,8,8,8,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
Virginia,12,21,21,24,25,25,25,24,23,23,17,17,15,15,0,0,11,11,12,12,12,12,12,12,11,11,12,12,12,12,12,13,13,13
Washington,,,,,,,,,,,,,,,,,,,,4,4,5,5,7,8,8,9,9,9,9,10,11,11,12
West Virginia,,,,,,,,,,,,,,,5,5,5,5,6,6,6,7,7,8,8,8,8,8,7,6,6,5,5,5
Wisconsin,,,,,,,,,,,,4,5,5,8,8,10,10,11,12,12,13,13,13,12,12,12,12,12,11,11,11,10,10
Wyoming,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Total electors,81,135,138,176,218,221,235,261,288,294,275,290,296,303,234,294,366,369,401,444,447,476,483,531,531,531,531,537,538,538,538,538,538,538
