"Rank in
the Fifty
States,
2013","Rank in all
states
& terri-
tories,
2010",State or territory,"Population estimate for
July 1, 2013","Census population,
April 1, 2010","Census population,
April 1, 2000","Seats in
U.S. House,
2013–2023","Presi-
dential
Electors
2012–
2020","2010 Census Pop.
per
House
seat","2000 Census Pop.
per
House
seat","2000 Census Pop.
per
Pres. Elector","Percent
of total
U.S. pop.,
2010"
!000001,!000001,California,"38,332,521","37,253,956","33,871,648",!000053,!000055,"702,905","639,088","615,848",11.91%
!000002,!000002,Texas,"26,448,193","25,145,561","20,851,820",!000036,!000038,"785,799","651,619","613,289",8.04%
!000003,!000003,New York,"19,651,127","19,378,102","18,976,457",!000027,!000029,"668,210","654,361","612,144",6.19%
!000004,!000004,Florida,"19,552,860","18,801,310","15,982,378",!000027,!000029,"752,052","639,295","591,940",6.01%
!000005,!000005,Illinois,"12,882,135","12,830,632","12,419,293",!000018,!000020,"675,296","653,647","591,395",4.10%
!000006,!000006,Pennsylvania,"12,773,801","12,702,379","12,281,054",!000018,!000020,"668,546","646,371","584,812",4.06%
!000007,!000007,Ohio,"11,570,808","11,536,504","11,353,140",!000016,!000018,"640,917","630,730","567,657",3.69%
!000008,!000009,Georgia,"9,992,167","9,687,653","8,186,453",!000014,!000016,"745,204","629,727","545,764",3.10%
!000009,!000008,Michigan,"9,895,622","9,883,640","9,938,444",!000014,!000016,"658,909","662,563","584,614",3.16%
!000010,!000010,North Carolina,"9,848,060","9,535,483","8,049,313",!000013,!000015,"733,499","619,178","536,621",3.05%
!000011,!000011,New Jersey,"8,899,339","8,791,894","8,414,350",!000012,!000014,"676,300","647,258","560,957",2.81%
!000012,!000012,Virginia,"8,260,405","8,001,024","7,078,515",!000011,!000013,"727,366","643,501","544,501",2.56%
!000013,!000013,Washington,"6,971,406","6,724,540","5,894,121",!000010,!000012,"747,171","654,902","535,829",2.15%
!000014,!000014,Massachusetts,"6,692,824","6,547,629","6,349,097",!000009,!000011,"654,763","634,910","529,091",2.09%
!000015,!000016,Arizona,"6,626,624","6,392,017","5,130,632",!000009,!000011,"799,002","641,329","513,063",2.04%
!000016,!000015,Indiana,"6,570,902","6,483,802","6,080,485",!000009,!000011,"720,422","675,609","552,771",2.07%
!000017,!000017,Tennessee,"6,495,978","6,346,105","5,689,283",!000009,!000011,"705,123","632,143","517,208",2.03%
!000018,!000018,Missouri,"6,044,171","5,988,927","5,595,211",!000008,!000010,"665,436","621,690","508,656",1.91%
!000019,!000019,Maryland,"5,928,814","5,773,552","5,296,486",!000008,!000010,"721,694","662,061","529,649",1.85%
!000020,!000020,Wisconsin,"5,742,713","5,686,986","5,363,675",!000008,!000010,"710,873","670,459","536,368",1.82%
!000021,!000021,Minnesota,"5,420,380","5,303,925","4,919,479",!000008,!000010,"662,991","614,935","491,948",1.70%
!000022,!000022,Colorado,"5,268,367","5,029,196","4,301,261",!000007,!000009,"720,704","614,466","477,918",1.61%
!000023,!000023,Alabama,"4,833,722","4,779,736","4,447,100",!000007,!000009,"682,819","635,300","494,122",1.53%
!000024,!000024,South Carolina,"4,774,839","4,625,364","4,012,012",!000007,!000009,"770,894","668,669","501,502",1.48%
!000025,!000025,Louisiana,"4,625,470","4,533,372","4,468,976",!000006,!000008,"647,625","638,425","496,553",1.45%
!000026,!000026,Kentucky,"4,395,295","4,339,367","4,041,769",!000006,!000008,"723,228","673,628","505,221",1.39%
!000027,!000027,Oregon,"3,930,065","3,831,074","3,421,399",!000005,!000007,"766,215","684,280","488,771",1.22%
!000028,!000028,Oklahoma,"3,850,568","3,751,351","3,450,654",!000005,!000007,"750,270","690,131","492,951",1.20%
—,!000029,Puerto Rico,"3,615,086","3,725,789","3,808,610",6,!000000,—,—,—,1.19%
!000029,!000030,Connecticut,"3,596,080","3,574,097","3,405,565",!000005,!000007,"714,819","681,113","486,509",1.14%
!000030,!000031,Iowa,"3,090,416","3,046,355","2,926,324",!000004,!000006,"609,271","585,265","418,046",0.97%
!000031,!000032,Mississippi,"2,991,207","2,967,297","2,844,658",!000004,!000006,"741,824","711,165","474,110",0.95%
!000032,!000033,Arkansas,"2,959,373","2,915,918","2,673,400",!000004,!000006,"728,980","668,350","445,567",0.93%
!000033,!000035,Utah,"2,900,872","2,763,885","2,233,169",!000004,!000006,"921,295","744,390","446,634",0.88%
!000034,!000034,Kansas,"2,893,957","2,853,118","2,688,418",!000004,!000006,"713,280","672,105","448,070",0.91%
!000035,!000036,Nevada,"2,790,136","2,700,551","1,998,257",!000004,!000006,"900,184","666,086","399,651",0.86%
!000036,!000037,New Mexico,"2,085,287","2,059,179","1,819,046",!000003,!000005,"686,393","606,349","363,809",0.66%
!000037,!000039,Nebraska,"1,868,516","1,826,341","1,711,263",!000003,!000005,"608,780","570,421","342,253",0.58%
!000038,!000038,West Virginia,"1,854,304","1,852,994","1,808,344",!000003,!000005,"617,665","602,781","361,669",0.59%
!000039,!000040,Idaho,"1,612,136","1,567,582","1,293,953",!000002,!000004,"783,791","646,977","323,488",0.51%
!000040,!000041,Hawaii,"1,404,054","1,360,301","1,211,537",!000002,!000004,"680,151","605,769","302,884",0.43%
!000041,!000042,Maine,"1,328,302","1,328,361","1,274,923",!000002,!000004,"664,181","637,462","318,731",0.42%
!000042,!000043,New Hampshire,"1,323,459","1,316,470","1,235,786",!000002,!000004,"658,235","617,893","308,947",0.42%
!000043,!000044,Rhode Island,"1,051,511","1,052,567","1,048,319",!000002,!000004,"526,284","524,160","262,080",0.34%
!000044,!000045,Montana,"1,015,165","989,415","902,195",!000001,!000003,"989,415","902,195","300,732",0.32%
!000045,!000046,Delaware,"925,749","897,934","783,600",!000001,!000003,"900,877","783,600","261,200",0.29%
!000046,!000047,South Dakota,"844,877","814,180","754,844",!000001,!000003,"814,180","754,844","251,615",0.26%
!000047,!000048,Alaska,"735,132","710,231","626,932",!000001,!000003,"710,231","626,932","208,977",0.23%
!000048,!000049,North Dakota,"723,393","672,591","642,200",!000001,!000003,"672,591","642,200","214,067",0.21%
—,!000050,District of Columbia,"646,449","601,723","572,059",6,!000003,—,—,"190,686",0.19%
!000049,!000051,Vermont,"626,630","625,741","608,827",!000001,!000003,"625,741","608,827","202,942",0.20%
!000050,!000052,Wyoming,"582,658","563,626","493,782",!000001,!000003,"563,626","493,782","164,594",0.18%
—,!000053,Guam,—,"159,358","154,805",6,!000000,—,—,—,0.06%
—,!000054,U.S. Virgin Islands,—,"106,405","108,612",6,!000000,—,—,—,0.04%
—,!000055,American Samoa,—,"55,519","57,291",6,!000000,—,—,—,0.02%
—,!000056,Northern Mariana Islands,—,"53,883","69,221",6,!000000,—,—,—,0.02%
—,—,The Fifty States,"315,482,390","308,143,815","280,849,847",435,535,"709,760","645,632","524,953",98.48%
—,—,50 States + D.C.,"316,128,839","308,745,538","281,421,906",435,538,—,—,"523,089",98.67%
—,—,Total U.S. territory,—,"312,913,872","285,620,445",435,538,—,—,—,100.00%
